lat_,long_,zipcode
 32.896801,-97.038002,76051
 38.69540023803711,-121.59100341796875,95837
 39.861698150635,-104.672996521,80249
 39.87189865112305,-75.24109649658203,19113
 36.1245002746582,-86.6781997680664,37214
 35.04240036010742,-89.97669982910156,38116
 39.1754,-76.668297,21240
 29.64539909,-95.27890015,77061
 28.429399490356445,-81.30899810791016,32827
 30.194499969482422,-97.6698989868164,78719
 41.785999,-87.752403,60638
 26.53619956970215,-81.75520324707031,33913
 32.847099,-96.851799,75235
 41.3032,-95.894096,68110
 38.748697,-90.370003,63134
 26.072599,-80.152702,33315
 40.692501068115234,-74.168701171875,07114
 41.9786,-87.9048,60018
 37.61899948120117,-122.375,94128
 25.79319953918457,-80.29060363769531,33142
 40.639801,-73.7789,11430
 39.2976,-94.713898,64153
 40.777199,-73.872597,11371
 33.942501,-118.407997,90045
 35.2140007019043,-80.94309997558594,28208
 37.721298,-122.221001,94621
 38.94449997,-77.45580292,20152
 40.78839874267578,-111.97799682617188,84116
 29.533701,-98.469803,78216
 44.882,-93.221802,55450
 42.36429977,-71.00520325,02128
 41.4117012024,-81.8498001099,44135
 37.362598,-121.929001,95110
 28.777599334716797,-81.23750305175781,32773
 42.947200775146484,-87.89659881591797,53207
 29.99340057373047,-90.25800323486328,70062
 29.984399795532227,-95.34140014648438,77032
 40.1935005188,-76.7633972168,17057
 41.9388999939,-72.68319702149999,06096
 27.975500106811523,-82.533203125,33607
 33.43429946899414,-112.01200103759766,85034
 33.6367,-84.428101,30337
 40.49150085,-80.23290253,15108
 39.7173,-86.294403,46241
 35.877601623535156,-78.7874984741211,27560
 21.97599983215332,-159.33900451660156,96766
 21.32062,-157.924228,96818
 19.721399307250977,-155.04800415039062,96720
 30.49410057067871,-81.68789672851562,32218
 34.055999755859375,-117.60099792480469,91761
 38.1744,-85.736,40213
 39.998001,-82.891899,43219
 45.58869934,-122.5979996,97218
 39.048801,-84.667801,41042
 42.94049835,-78.73220062,14225
 36.19839859008789,-95.88809967041016,74115
 20.8986,-156.429993,96732
 35.39310073852539,-97.60070037841797,73159
 34.20069885253906,-118.35900115966797,91505
 47.449001,-122.308998,98158
 33.81769943,-118.1520004,90807
 36.89459991455078,-76.20120239257812,23502
 35.040199,-106.609001,87116
 38.8521,-77.037697,22202
 41.732601,-71.420403,02886
 32.7336006165,-117.190002441,92101
 33.56290054,-86.75350189,35212
 29.179899,-81.058098,32114
 33.67570114,-117.8679962,92626
 34.729400634799994,-92.2242965698,72206
 36.08010101,-115.1520004,89119
 42.74829864501953,-73.80169677734375,12110
 30.4734,-87.1866,32504
 32.12760162,-81.20210266,31408
 40.85010147089999,-74.060798645,07608
 38.0369987488,-87.5324020386,47725
 26.228500366210938,-97.65440368652344,78550
 31.80719948,-106.3779984,79925
 41.06700134277344,-73.70760345458984,10604
 37.13190079,-76.49299622,23602
 24.556100845336914,-81.75959777832031,33040
 42.212398529052734,-83.35340118408203,48242
 27.91020012,-82.68740082,33762
 32.115004,-110.938053,85756
 38.805801,-104.700996,80916
 41.534000396728516,-93.66310119628906,50321
 26.17580032,-98.23860168,78503
 39.902400970458984,-84.21939849853516,45377
 41.884700775146484,-91.71080017089844,52404
 18.4393997192,-66.0018005371,
 40.03919983,-88.27809906,61874
 26.68320083618164,-80.09559631347656,33406
 33.663601,-101.822998,79403
 41.44850158691406,-90.50749969482422,61265
 37.24570084,-93.38860321,65803
 33.30780029,-111.6549988,85212
 43.532901763916016,-84.07959747314453,48623
 39.49909973144531,-119.76799774169922,89502
 40.79520035,-73.10019684,11779
 32.9875984192,-97.31880187990001,76177
 31.9424991607666,-102.2020034790039,79706
 40.85100173950195,-96.75920104980469,68524
 27.77039909362793,-97.5011978149414,78406
 30.533199,-91.149597,70807
 35.81100082,-83.9940033,37701
 42.88079834,-85.52279663,49512
 40.97850037,-85.19509888,46809
 43.13990020751953,-89.3375015258789,53704
 36.281898,-94.306801,72712
 37.649899,-97.433098,67209
 42.19540023803711,-89.09719848632812,61109
 42.932598,-71.435699,03103
 40.664199829100006,-89.6932983398,61607
 38.55390167,-121.2979965,95655
 37.50519943237305,-77.3197021484375,23250
 41.330101013183594,-72.04509735107422,06340
 43.582000732400004,-96.741897583,57104
 40.8493003845,-77.84870147710001,16803
 43.5644,-116.223,83705
 30.357106,-85.795414,32409
 35.035301208496094,-85.20379638671875,37421
 61.174400329589844,-149.99600219726562,99502
 35.436199,-82.541801,28732
 38.0364990234375,-84.60590362548828,40510
 32.89860153,-80.04049683,29404
 40.652099609375,-75.44080352783203,18109
 20.962900161743164,-156.67300415039062,
 38.37310028076172,-81.59320068359375,25311
 36.039600372314,-95.984596252441,74132
 33.93880081176758,-81.11949920654297,29170
 39.67869949,-75.60649872,19720
 42.96540069580078,-83.74359893798828,48507
 39.813801,-82.927803,43217
 43.118900299072266,-77.67240142822266,14624
 40.799400329589844,-74.41490173339844,07960
 33.36989974975586,-81.9645004272461,30906
 41.504101,-74.104797,12550
 38.570701599100005,-90.1561965942,62206
 27.39539909362793,-82.55439758300781,34243
 30.40730094909668,-89.07009887695312,39503
 34.637199401855,-86.775100708008,35824
 33.6796989441,-78.9282989502,29577
 44.258098602299995,-88.5190963745,54914
 38.66759872,-121.401001,95652
 47.949299,-97.176102,58203
 42.234901428222656,-85.5521011352539,49002
 39.57009888,-104.848999,80112
 32.3111991882,-90.0758972168,39208
 21.3074,-158.070009,96707
 46.772701263427734,-100.74600219726562,58504
 34.209800720215,-118.48999786377,91406
 28.102800369262695,-80.64530181884766,32901
 35.219398,-101.706001,79111
 48.79280090332031,-122.53800201416016,98226
 27.543800354003906,-99.46160125732422,78041
 42.47000122,-71.28900146,01730
 43.90829849243164,-92.5,55902
 46.92070007324219,-96.81580352783203,58102
 37.461101532,-122.114997864,94303
 39.2966003418,-80.2281036377,26330
 -14.3310003281,-170.710006714,96799
 31.32740020751953,-92.54979705810547,71303
 38.8181,-92.219597,65201
 42.20869827,-75.97979736,13790
 64.81510162,-147.8560028,99709
 26.1525993347,-81.7752990723,34104
 17.701900482177734,-64.79859924316406,00850
 42.1599006652832,-76.8916015625,14845
