,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode
2340,2010,11,2,SWA,SOUTHWEST AIRLINES,B-737-700,KBDL,BRADLEY INTL,CT,APPROACH,NIGHT,4000.0,210.0,12.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-11-02,108,Bradley International Airport,173.0,Hartford,"-72.68319702149999, 41.9388999939",-72.68319702149999, 41.9388999939,6096
3052,2010,11,2,FFT,FRONTIER AIRLINES,A-320,KLGA,LA GUARDIA ARPT,NY,APPROACH,NIGHT,3000.0,210.0,6.0,X6102,YELLOW-BELLIED SAPSUCKER,1,OTHER,2010-11-02,151,La Guardia Airport,21.0,New York,"-73.872597, 40.777199",-73.872597, 40.777199,11371
1010,2010,11,2,JBU,JETBLUE AIRWAYS,EMB-190,KJFK,JOHN F KENNEDY INTL,NY,APPROACH,NIGHT,400.0,150.0,0.5,UNKBL,UNKNOWN LARGE BIRD,1,NONE,2010-11-02,159,John F Kennedy International Airport,13.0,New York,"-73.7789, 40.639801",-73.7789, 40.639801,11430
1009,2010,11,2,JBU,JETBLUE AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,APPROACH,NIGHT,4000.0,250.0,10.0,UNKBL,UNKNOWN LARGE BIRD,1,NONE,2010-11-02,159,John F Kennedy International Airport,13.0,New York,"-73.7789, 40.639801",-73.7789, 40.639801,11430
6878,2010,11,3,UAL,UNITED AIRLINES,A-319,KLAX,LOS ANGELES INTL,CA,APPROACH,DAY,15.0,118.0,0.0,ZT002,WESTERN MEADOWLARK,1,NONE,2010-11-03,128,Los Angeles International Airport,125.0,Los Angeles,"-118.407997, 33.942501",-118.407997, 33.942501,90045
3738,2010,11,3,JBU,JETBLUE AIRWAYS,A-320,KPHX,PHOENIX SKY HARBOR INTL ARPT,AZ,APPROACH,NIGHT,200.0,145.0,1.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-03,88,Phoenix Sky Harbor International Airport,1135.0,Phoenix,"-112.01200103759766, 33.43429946899414",-112.01200103759766, 33.43429946899414,85034
6277,2010,11,3,GOV,GOVERNMENT,AEROS SA365,KFDK,FREDERICK MUNICIPAL ARPT,MD,APPROACH,NIGHT,3.0,28.0,0.0,1G11,WHITE-TAILED DEER,1,OTHER,2010-11-03,6,Frederick Municipal Airport,303.0,Frederick,"-77.3742980957, 39.417598724399994",-77.3742980957, 39.417598724399994,21701
9856,2010,11,3,SKW,SKYWEST AIRLINES,CRJ100/200,KMKE,GENERAL MITCHELL INTL,WI,APPROACH,NIGHT,500.0,200.0,2.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-03,104,General Mitchell International Airport,723.0,Milwaukee,"-87.89659881591797, 42.947200775146484",-87.89659881591797, 42.947200775146484,53207
720,2010,11,3,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,TAKEOFF RUN,NIGHT,0.0,140.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-03,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
12330,2010,11,3,PVT,PRIVATELY OWNED,BE-35,KPAO,PALO ALTO ARPT OF SANTA CLARA COUNTY,CA,CLIMB,DAY,50.0,95.0,0.0,NE1,GULL,1,NONE,2010-11-03,12,Palo Alto Airport of Santa Clara County,4.0,Palo Alto,"-122.114997864, 37.461101532",-122.114997864, 37.461101532,94303
12342,2010,11,3,BUS,BUSINESS,C-172,KCKN,CROOKSTON MUNI ARPT-KIRKWOOD FIELD,MN,DESCENT,NIGHT,1800.0,120.0,5.0,UNKBS,UNKNOWN SMALL BIRD,1,PRECAUTIONARY LANDING,2010-11-03,3,Crookston Municipal Kirkwood Field,899.0,Crookston,"-96.62159729, 47.8417015076",-96.62159729, 47.8417015076,56716
581,2010,11,3,ASA,ALASKA AIRLINES,B-737-800,KPDX,PORTLAND INTL (OR),OR,TAKEOFF RUN,DAY,0.0,135.0,0.0,ZC204,AMERICAN PIPIT,2-10,NONE,2010-11-03,69,Portland International Airport,31.0,Portland,"-122.5979996, 45.58869934",-122.5979996, 45.58869934,97218
