Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
2011,8,10,AWE,US AIRWAYS,A-319,KMDT,HARRISBURG INTL,PA,CLIMB,DAY,50.0,140.0,0.0,ZX3,SPARROW,1,NONE
2011,8,10,SWA,SOUTHWEST AIRLINES,B-737-700,KHOU,WILLIAM P HOBBY ARPT,TX,APPROACH,DUSK,700.0,140.0,1.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,10,BUS,BUSINESS,DA-50 FALCON,KCSG,COLUMBUS ARPT,GA,TAKEOFF RUN,DAY,0.0,120.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE
2011,8,10,BUS,BUSINESS,DA-2000,KMDT,HARRISBURG INTL,PA,LANDING ROLL,DAY,0.0,100.0,0.0,YI003,BANK SWALLOW,2-10,NONE
2011,8,10,JBU,JETBLUE AIRWAYS,EMB-190,KROC,GREATER ROCHESTER INTL,NY,TAKEOFF RUN,DAY,0.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,10,MES,MESABA AIRLINES,CRJ900,KBUF,BUFFALO-NIAGARA INTL,NY,CLIMB,DAY,30.0,145.0,0.0,YL001,EUROPEAN STARLING,11-100,NONE
2011,8,10,RPA,REPUBLIC AIRLINES,EMB-170,KPIT,PITTSBURGH INTL ARPT,PA,LANDING ROLL,DAY,0.0,130.0,0.0,YI,SWALLOW,1,NONE
2011,8,10,SWA,SOUTHWEST AIRLINES,B-737-300,KBUR,BOB HOPE ARPT,CA,TAKEOFF RUN,DAY,0.0,90.0,0.0,O2111,ROCK PIGEON,1,NONE
2011,8,10,SKW,SKYWEST AIRLINES,CRJ100/200,KBNA,NASHVILLE INTL,TN,TAKEOFF RUN,DAWN,0.0,120.0,0.0,ZX3,SPARROW,2-10,NONE
2011,8,11,AWI,AIR WISCONSIN AIRLINES,CRJ100/200,KHPN,WESTCHESTER COUNTY ARPT,NY,APPROACH,DAY,10.0,150.0,0.0,YL001,EUROPEAN STARLING,1,NONE
2011,8,11,TRS,AIRTRAN AIRWAYS,B-717-200,KMDT,HARRISBURG INTL,PA,LANDING ROLL,DAY,0.0,85.0,0.0,YI,SWALLOW,2-10,NONE
2011,8,11,AAY,ALLEGIANT AIR,MD-83,KROA,ROANOKE REGNL ARPT/WOODRUM FIELD,VA,TAKEOFF RUN,DAY,0.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
