Airport ID,Birdstrikes_N
KSDF,444
KDFW,434
KPHL,375
KSMF,347
KDEN,322
KMEM,299
KBNA,272
KBWI,233
KMCO,214
KAUS,213
KHOU,210
KRSW,181
KMDW,174
KOMA,171
KDAL,171
KEWR,170
KSTL,168
KORD,167
KFLL,165
KJFK,159
KSFO,155
KMIA,154
KLGA,151
KMCI,151
KBOS,145
KSAT,136
KCLT,133
KOAK,132
KMSP,131
KIAD,129
KLAX,128
KIAH,127
KCLE,124
KSLC,123
KSJC,112
KBDL,108
KSFB,107
KMKE,104
KMSY,104
KMDT,102
