,date,station,zipcode,value
0,2010-01-01,GHCND:USW00092805,33060,41
1,2010-01-01,GHCND:USW00012815,32827,38
2,2010-01-02,GHCND:USW00024229,97218,37
3,2010-01-02,GHCND:USW00093721,21240,96
4,2010-01-02,GHCND:USW00024127,84116,16
5,2010-01-02,GHCND:USW00012815,32827,48
6,2010-01-03,GHCND:USW00093225,95837,5
7,2010-01-03,GHCND:USW00093225,95837,5
8,2010-01-03,GHCND:USW00094789,11430,114
9,2010-01-03,GHCND:USW00093228,94541,23
10,2010-01-04,GHCND:USW00093225,95837,15
11,2010-01-05,GHCND:USW00093225,95837,9
12,2010-01-05,GHCND:USW00093225,95837,9
13,2010-01-05,GHCND:USW00093225,95837,9
14,2010-01-05,GHCND:USW00093225,95837,9
15,2010-01-06,GHCND:USW00023293,95110,11
16,2010-01-06,GHCND:USW00093225,95837,12
17,2010-01-06,GHCND:USW00093225,95837,12
18,2010-01-06,GHCND:USW00012894,33913,26
19,2010-01-07,GHCND:USW00093721,21240,27
20,2010-01-07,GHCND:USW00012849,33315,19
21,2010-01-08,GHCND:USW00093225,95837,12
22,2010-01-09,GHCND:USW00013889,32218,34
23,2010-01-09,GHCND:USW00003192,85260,4
24,2010-01-10,GHCND:USW00023188,92101,12
25,2010-01-10,GHCND:USW00013737,23502,51
26,2010-01-10,GHCND:USW00023234,94128,11
27,2010-01-10,GHCND:USW00013968,74115,30
28,2010-01-10,GHCND:USW00022536,96766,39
29,2010-01-11,GHCND:USW00013995,65803,50
30,2010-01-11,GHCND:USW00013904,78719,7
31,2010-01-11,GHCND:USW00093225,95837,15
32,2010-01-12,GHCND:USW00013904,78719,13
33,2010-01-13,GHCND:USW00023234,94128,51
34,2010-01-13,GHCND:USW00023293,95110,21
35,2010-01-14,GHCND:USW00093225,95837,23
36,2010-01-14,GHCND:USW00023188,92101,15
37,2010-01-15,GHCND:USW00023230,94621,17
38,2010-01-15,GHCND:USW00014732,11371,47
39,2010-01-16,GHCND:USW00093225,95837,13
40,2010-01-16,GHCND:USW00012815,32827,46
41,2010-01-16,GHCND:USW00023237,95206,9
42,2010-01-16,GHCND:USW00093225,95837,13
43,2010-01-17,GHCND:USW00012815,32827,71
44,2010-01-17,GHCND:USW00022536,96766,35
45,2010-01-17,GHCND:USW00012815,32827,71
46,2010-01-17,GHCND:USW00093110,93030,21
47,2010-01-17,GHCND:USW00013722,27560,33
48,2010-01-18,GHCND:USW00021504,96720,23
49,2010-01-19,GHCND:USW00026451,99502,16
50,2010-01-19,GHCND:USW00022536,96766,47
51,2010-01-19,GHCND:USW00024153,59808,12
52,2010-01-19,GHCND:USW00012815,32827,12
53,2010-01-20,GHCND:USW00023183,85034,31
54,2010-01-20,GHCND:USW00022536,96766,83
55,2010-01-21,GHCND:USW00094789,11430,24
56,2010-01-22,GHCND:USW00021504,96720,25
57,2010-01-22,GHCND:USW00013960,75235,60
58,2010-01-23,GHCND:USW00012894,33913,26
59,2010-01-24,GHCND:USW00054787,11735,33
60,2010-01-24,GHCND:USW00093225,95837,6
61,2010-01-25,GHCND:USW00023234,94128,39
62,2010-01-25,GHCND:USW00023050,87116,21
63,2010-01-26,GHCND:USW00003947,64153,45
64,2010-01-27,GHCND:USW00012894,33913,23
65,2010-01-27,GHCND:USW00012894,33913,23
66,2010-01-27,GHCND:USW00012894,33913,23
67,2010-01-27,GHCND:USW00003017,80249,34
68,2010-01-28,GHCND:USW00024127,84116,23
69,2010-01-28,GHCND:USW00013881,28208,19
70,2010-01-29,GHCND:USW00023064,67846,43
71,2010-01-29,GHCND:USW00093225,95837,20
72,2010-01-30,GHCND:USW00012849,33315,46
73,2010-01-30,GHCND:USW00093225,95837,26
74,2010-01-31,GHCND:USW00013722,27560,10
75,2010-02-01,GHCND:USW00012815,32827,32
76,2010-02-02,GHCND:USW00023188,92101,19
77,2010-02-04,GHCND:USW00012904,78550,48
78,2010-02-05,GHCND:USW00093225,95837,48
79,2010-02-05,GHCND:USW00093225,95837,48
80,2010-02-05,GHCND:USW00023190,93117,59
81,2010-02-06,GHCND:USW00013876,35212,55
82,2010-02-06,GHCND:USW00022536,96766,31
83,2010-02-06,GHCND:USW00022516,96732,24
84,2010-02-09,GHCND:USW00093037,80916,27
85,2010-02-09,GHCND:USW00013781,19720,18
86,2010-02-09,GHCND:USW00012918,77061,74
87,2010-02-10,GHCND:USW00012960,77032,13
88,2010-02-10,GHCND:USW00003017,80249,26
89,2010-02-12,GHCND:USW00094789,11430,61
90,2010-02-12,GHCND:USW00012873,33762,58
91,2010-02-13,GHCND:USW00093225,95837,16
92,2010-02-13,GHCND:USW00023293,95110,15
93,2010-02-14,GHCND:USW00094789,11430,79
94,2010-02-15,GHCND:USW00012815,32827,34
95,2010-02-15,GHCND:USW00012849,33315,33
96,2010-02-16,GHCND:USW00013881,28208,30
97,2010-02-16,GHCND:USW00023152,91505,10
98,2010-02-17,GHCND:USW00012815,32827,50
99,2010-02-17,GHCND:USW00093225,95837,8
100,2010-02-18,GHCND:USW00014737,18109,59
